Id,year,bpm,nrgy,dnce,live,val,dur,acous,spch,dB,pop
1,1996,107,31,45,13,28,150,75,3,-8,44
2,2011,114,44,53,13,47,139,49,3,-8,37
3,1979,105,36,63,13,67,245,11,3,-9,77
4,1980,170,28,47,13,33,232,25,3,-16,67
5,1973,121,47,56,15,40,193,45,3,-8,63
6,2010,110,56,71,12,23,223,15,6,-7,74
7,1971,128,48,48,5,12,219,8,6,-14,44
8,1991,150,43,64,6,53,351,7,2,-9,71
9,2019,100,14,29,15,32,143,89,3,-10,34
10,2013,108,39,46,16,50,126,82,3,-10,35
11,2001,98,74,72,17,93,224,12,3,-3,63
12,1985,87,66,63,7,75,343,12,3,-9,68
13,2006,129,68,49,10,75,177,30,5,-9,30
14,1989,147,37,55,24,85,98,84,4,-9,35
15,2017,64,62,52,27,64,144,36,4,-6,60
16,1968,133,47,67,50,77,152,34,3,-12,40
17,1975,125,39,66,12,68,184,45,3,-9,46
18,1992,77,40,46,13,12,249,64,3,-10,65
19,2002,141,67,49,5,70,148,23,4,-10,62
20,2006,93,57,45,19,58,207,25,31,-8,77
21,1975,154,18,33,12,26,217,93,3,-12,74
22,1986,145,59,52,31,31,258,8,3,-8,71
23,1991,105,67,61,22,32,231,20,3,-6,64
24,1994,128,49,52,19,44,267,58,3,-8,63
25,1964,89,7,20,13,6,400,98,3,-20,42
26,1984,144,91,59,60,93,244,15,4,-8,59
27,2016,97,16,57,11,15,181,100,5,-16,28
28,2001,104,77,59,7,95,201,31,4,-11,55
29,1968,90,29,65,9,71,466,56,8,-19,48
30,1987,85,95,27,28,57,267,0,10,-5,74
31,2009,96,70,65,9,47,202,0,4,-5,78
32,1995,79,53,65,25,49,258,46,4,-8,73
33,2019,116,85,76,27,59,197,6,5,-5,61
34,2008,94,73,64,10,73,219,32,9,-5,71
35,1961,100,29,40,11,34,182,94,3,-14,78
36,2000,125,33,59,9,68,108,87,3,-10,30
37,1998,90,56,59,22,21,250,0,2,-7,66
38,1972,123,94,52,9,44,226,2,12,-4,40
39,2007,118,60,66,10,8,184,4,3,-6,70
40,1979,127,77,71,17,90,309,15,4,-7,63
41,1979,124,91,64,21,83,241,24,5,-4,57
42,1996,120,47,61,10,18,274,31,3,-10,74
43,2011,82,43,49,12,66,151,70,6,-12,60
44,1999,67,68,52,13,75,271,27,16,-4,67
45,1997,125,92,76,4,74,233,0,4,-6,60
46,1979,148,81,63,7,96,225,10,3,-9,61
47,2011,82,43,49,12,66,151,70,6,-12,60
48,2007,140,74,74,5,80,222,52,8,-2,76
49,1984,135,58,69,12,94,302,29,3,-11,71
50,2009,180,66,51,12,46,228,3,4,-7,78
51,2017,120,72,82,8,56,254,1,13,-6,53
52,1994,133,86,85,5,60,227,3,4,-10,60
53,1973,114,65,72,27,96,281,25,4,-8,59
54,1984,81,61,58,17,40,284,45,3,-6,61
55,1987,107,85,66,20,66,355,3,3,-6,68
56,1993,147,32,53,17,73,127,87,7,-10,37
57,1972,135,76,52,11,71,275,12,4,-10,70
58,2000,75,14,52,14,26,135,70,3,-14,30
59,1984,107,69,81,16,78,246,22,3,-12,70
60,2007,94,69,90,29,63,230,18,28,-4,68
61,1988,167,84,58,6,93,210,16,5,-7,67
62,1975,126,40,59,25,78,208,11,4,-15,56
63,2009,128,77,74,51,61,289,9,3,-6,77
64,2007,137,47,67,27,91,144,85,5,-9,52
65,1990,128,33,55,11,30,241,78,3,-11,66
66,1999,142,61,75,12,97,252,0,9,-9,72
67,1999,131,94,82,35,91,239,14,6,-5,69
68,2002,105,91,64,28,69,146,35,6,-8,48
69,2014,128,29,51,8,58,128,78,4,-11,39
70,1999,93,68,74,7,59,214,3,10,-4,79
71,1971,82,40,46,12,63,190,76,3,-9,70
72,1977,178,34,39,25,48,303,65,3,-10,79
73,2006,83,53,48,34,80,135,59,3,-9,28
74,2017,97,47,23,32,21,179,57,3,-6,49
75,2005,125,60,95,7,82,219,11,7,-5,75
76,1995,163,94,33,15,33,290,7,6,-3,73
77,1975,92,68,83,33,95,213,68,3,-7,61
78,2017,114,43,45,22,29,160,42,3,-6,49
79,1968,107,47,71,25,74,190,71,9,-10,38
80,2008,113,78,61,7,44,231,0,4,-4,65
81,1969,100,57,67,8,68,200,10,7,-17,42
82,2011,123,45,74,10,96,106,88,4,-10,38
83,1981,160,78,56,12,31,206,10,5,-4,68
84,1962,136,57,42,6,48,127,28,11,-9,42
85,2007,157,57,65,12,56,214,5,11,-11,59
86,1991,81,49,53,10,10,384,54,5,-8,67
87,2006,100,45,87,31,35,247,4,4,-9,70
88,2019,199,73,42,73,72,122,37,14,-11,30
89,1969,91,45,42,16,78,221,58,4,-16,54
90,1984,137,48,49,24,33,227,42,3,-9,73
91,2008,109,29,70,16,63,172,36,4,-15,29
92,2010,130,82,75,69,65,213,15,6,-5,60
93,2007,104,65,64,15,20,263,19,4,-6,70
94,1964,109,83,57,19,96,127,9,3,-4,43
95,1985,112,80,65,10,54,251,35,5,-12,80
96,1993,114,31,60,9,60,175,73,3,-11,53
97,2000,102,41,29,27,54,164,66,3,-10,56
98,1976,110,76,67,5,88,286,10,7,-7,72
99,2016,138,60,41,41,54,170,81,6,-8,40
100,2017,117,75,80,11,75,212,25,3,-5,67
101,2009,125,54,87,6,76,299,4,8,-9,55
102,1982,125,74,79,11,97,219,4,4,-5,69
103,1968,173,60,24,5,42,191,7,3,-4,54
104,1957,73,28,55,9,47,174,85,3,-10,44
105,1966,97,86,53,31,39,143,29,8,-11,46
106,1967,124,78,49,15,94,142,27,3,-11,46
107,2000,137,82,67,29,76,218,0,6,-9,71
108,1958,148,46,51,40,79,134,61,7,-10,47
109,2010,120,59,79,7,71,206,10,8,-9,73
110,2009,128,85,53,32,28,162,0,5,-8,58
111,2010,122,93,61,9,57,202,3,3,-4,71
112,1997,133,94,65,12,84,229,8,4,-9,58
113,1999,134,94,71,32,57,221,15,4,-5,56
114,1975,126,32,48,10,31,213,78,3,-11,59
115,2014,110,79,67,11,62,265,8,3,-5,58
116,1983,129,94,70,60,79,198,7,5,-3,77
117,2008,80,7,32,27,32,208,76,3,-10,41
118,2008,80,72,51,6,47,262,27,6,-6,77
119,1992,78,37,43,8,66,155,68,8,-8,68
120,1976,118,22,37,20,11,229,83,3,-13,62
121,1984,75,26,48,28,30,199,39,3,-15,39
122,1995,129,68,70,17,53,235,59,3,-7,66
123,1981,137,52,53,18,52,234,17,4,-11,70
124,1985,108,55,63,6,20,299,72,6,-13,67
125,1999,102,91,64,8,82,210,23,10,-8,62
126,2018,126,91,66,8,94,227,3,4,-9,52
127,1970,139,97,54,12,93,166,42,9,-6,66
128,2005,67,46,53,10,15,356,50,3,-7,43
129,1979,114,84,76,10,85,287,5,3,-8,58
130,2008,112,72,57,8,32,250,1,3,-5,70
131,1984,102,66,58,14,90,235,12,3,-8,63
132,1994,105,28,38,31,65,159,4,3,-14,49
133,2001,83,81,66,10,89,235,23,5,-7,70
134,1972,139,67,57,13,74,212,34,3,-10,75
135,2013,81,49,26,34,40,162,81,4,-9,61
136,2007,127,17,72,7,78,175,98,7,-13,39
137,1999,122,87,68,5,54,219,4,3,-5,55
138,1982,116,53,72,8,73,247,57,3,-11,65
139,1980,126,79,45,9,52,295,57,4,-7,72
140,2000,140,31,63,7,24,233,61,3,-12,67
141,1976,119,79,55,33,71,202,29,3,-8,56
142,2011,135,71,49,10,90,154,40,3,-7,41
143,1997,150,59,43,10,24,265,16,3,-6,73
144,2016,112,36,57,14,40,190,92,4,-10,51
145,2000,93,45,56,15,70,135,49,3,-7,41
146,1996,140,68,58,31,57,255,18,3,-9,48
147,1994,125,63,75,23,96,206,25,4,-12,53
148,1984,112,50,74,19,66,348,18,4,-8,76
149,2008,148,43,83,14,45,299,6,8,-9,71
150,2008,130,89,65,9,70,227,0,4,-5,58
151,2007,99,89,70,50,92,252,6,4,-7,66
152,1977,139,21,27,18,30,201,74,3,-16,44
153,1992,120,84,71,3,49,200,6,4,-12,59
154,2004,110,48,86,59,93,302,5,6,-9,71
155,1985,79,30,41,18,14,424,53,3,-14,71
156,1968,116,45,50,12,55,206,36,3,-10,47
157,1967,108,69,51,17,42,194,16,2,-7,65
158,1961,103,44,59,5,90,113,52,3,-10,38
159,1974,143,80,30,50,56,252,0,5,-7,60
160,2009,137,88,74,10,98,240,33,3,-3,72
161,1984,141,98,53,7,46,210,0,11,-5,73
162,1991,164,72,57,22,84,267,19,4,-9,70
163,1980,110,53,93,16,75,215,11,16,-6,82
164,2009,155,88,59,17,65,326,1,16,-5,56
165,1965,121,69,63,19,65,166,44,4,-6,63
166,2007,134,96,66,9,83,205,8,5,-6,62
167,1994,128,81,69,10,80,264,0,3,-12,69
168,1985,177,70,51,30,91,360,2,8,-11,68
169,1987,130,24,49,7,38,259,67,3,-14,61
170,2004,171,74,69,34,6,322,1,26,-5,76
171,1997,112,56,44,24,58,191,6,3,-7,53
172,1984,122,95,40,10,58,279,0,6,-6,75
173,1970,113,93,56,35,62,146,1,6,-10,77
174,1973,136,72,65,41,68,178,68,4,-5,56
175,1990,148,65,47,34,94,163,60,3,-14,48
176,1963,72,7,28,11,22,246,93,8,-24,54
